asof,ticker,expiry,T,type,strike,bid,ask,mid,spot,forward,r,q,open_interest
2026-06-26,SPY,2026-07-17,0.057534,put,620.0,0.39,0.4,0.395,728.99,734.2969,0.03663,-0.089443,24299
2026-06-26,SPY,2026-07-17,0.057534,put,625.0,0.42,0.43,0.425,728.99,734.2969,0.03663,-0.089443,5806
2026-06-26,SPY,2026-07-17,0.057534,put,630.0,0.45,0.47,0.45999999999999996,728.99,734.2969,0.03663,-0.089443,15034
2026-06-26,SPY,2026-07-17,0.057534,put,635.0,0.49,0.5,0.495,728.99,734.2969,0.03663,-0.089443,10619
2026-06-26,SPY,2026-07-17,0.057534,put,640.0,0.53,0.54,0.535,728.99,734.2969,0.03663,-0.089443,17200
2026-06-26,SPY,2026-07-17,0.057534,put,645.0,0.57,0.59,0.58,728.99,734.2969,0.03663,-0.089443,9084
2026-06-26,SPY,2026-07-17,0.057534,put,650.0,0.63,0.65,0.64,728.99,734.2969,0.03663,-0.089443,42090
2026-06-26,SPY,2026-07-17,0.057534,put,651.0,0.64,0.66,0.65,728.99,734.2969,0.03663,-0.089443,621
2026-06-26,SPY,2026-07-17,0.057534,put,652.0,0.65,0.68,0.665,728.99,734.2969,0.03663,-0.089443,705
2026-06-26,SPY,2026-07-17,0.057534,put,653.0,0.67,0.69,0.6799999999999999,728.99,734.2969,0.03663,-0.089443,1214
2026-06-26,SPY,2026-07-17,0.057534,put,654.0,0.68,0.7,0.69,728.99,734.2969,0.03663,-0.089443,265
2026-06-26,SPY,2026-07-17,0.057534,put,655.0,0.7,0.72,0.71,728.99,734.2969,0.03663,-0.089443,12786
2026-06-26,SPY,2026-07-17,0.057534,put,656.0,0.71,0.73,0.72,728.99,734.2969,0.03663,-0.089443,420
2026-06-26,SPY,2026-07-17,0.057534,put,657.0,0.73,0.75,0.74,728.99,734.2969,0.03663,-0.089443,556
2026-06-26,SPY,2026-07-17,0.057534,put,658.0,0.74,0.77,0.755,728.99,734.2969,0.03663,-0.089443,425
2026-06-26,SPY,2026-07-17,0.057534,put,659.0,0.76,0.78,0.77,728.99,734.2969,0.03663,-0.089443,622
2026-06-26,SPY,2026-07-17,0.057534,put,660.0,0.78,0.8,0.79,728.99,734.2969,0.03663,-0.089443,19188
2026-06-26,SPY,2026-07-17,0.057534,put,661.0,0.8,0.82,0.81,728.99,734.2969,0.03663,-0.089443,460
2026-06-26,SPY,2026-07-17,0.057534,put,662.0,0.82,0.84,0.83,728.99,734.2969,0.03663,-0.089443,176
2026-06-26,SPY,2026-07-17,0.057534,put,663.0,0.84,0.86,0.85,728.99,734.2969,0.03663,-0.089443,296
2026-06-26,SPY,2026-07-17,0.057534,put,664.0,0.86,0.88,0.87,728.99,734.2969,0.03663,-0.089443,797
2026-06-26,SPY,2026-07-17,0.057534,put,665.0,0.88,0.9,0.89,728.99,734.2969,0.03663,-0.089443,10901
2026-06-26,SPY,2026-07-17,0.057534,put,666.0,0.9,0.93,0.915,728.99,734.2969,0.03663,-0.089443,239
2026-06-26,SPY,2026-07-17,0.057534,put,667.0,0.93,0.95,0.94,728.99,734.2969,0.03663,-0.089443,361
2026-06-26,SPY,2026-07-17,0.057534,put,668.0,0.95,0.98,0.965,728.99,734.2969,0.03663,-0.089443,400
2026-06-26,SPY,2026-07-17,0.057534,put,669.0,0.98,1.0,0.99,728.99,734.2969,0.03663,-0.089443,501
2026-06-26,SPY,2026-07-17,0.057534,put,670.0,1.01,1.03,1.02,728.99,734.2969,0.03663,-0.089443,19355
2026-06-26,SPY,2026-07-17,0.057534,put,671.0,1.03,1.06,1.045,728.99,734.2969,0.03663,-0.089443,414
2026-06-26,SPY,2026-07-17,0.057534,put,672.0,1.06,1.09,1.0750000000000002,728.99,734.2969,0.03663,-0.089443,787
2026-06-26,SPY,2026-07-17,0.057534,put,673.0,1.1,1.12,1.11,728.99,734.2969,0.03663,-0.089443,180
2026-06-26,SPY,2026-07-17,0.057534,put,674.0,1.13,1.16,1.145,728.99,734.2969,0.03663,-0.089443,3802
2026-06-26,SPY,2026-07-17,0.057534,put,675.0,1.16,1.19,1.1749999999999998,728.99,734.2969,0.03663,-0.089443,15401
2026-06-26,SPY,2026-07-17,0.057534,put,676.0,1.2,1.23,1.2149999999999999,728.99,734.2969,0.03663,-0.089443,772
2026-06-26,SPY,2026-07-17,0.057534,put,677.0,1.24,1.27,1.255,728.99,734.2969,0.03663,-0.089443,497
2026-06-26,SPY,2026-07-17,0.057534,put,678.0,1.28,1.31,1.295,728.99,734.2969,0.03663,-0.089443,556
2026-06-26,SPY,2026-07-17,0.057534,put,679.0,1.32,1.35,1.335,728.99,734.2969,0.03663,-0.089443,358
2026-06-26,SPY,2026-07-17,0.057534,put,680.0,1.36,1.39,1.375,728.99,734.2969,0.03663,-0.089443,26229
2026-06-26,SPY,2026-07-17,0.057534,put,681.0,1.41,1.44,1.4249999999999998,728.99,734.2969,0.03663,-0.089443,989
2026-06-26,SPY,2026-07-17,0.057534,put,682.0,1.46,1.49,1.475,728.99,734.2969,0.03663,-0.089443,632
2026-06-26,SPY,2026-07-17,0.057534,put,683.0,1.51,1.54,1.525,728.99,734.2969,0.03663,-0.089443,1633
2026-06-26,SPY,2026-07-17,0.057534,put,684.0,1.56,1.59,1.5750000000000002,728.99,734.2969,0.03663,-0.089443,619
2026-06-26,SPY,2026-07-17,0.057534,put,685.0,1.61,1.65,1.63,728.99,734.2969,0.03663,-0.089443,20466
2026-06-26,SPY,2026-07-17,0.057534,put,686.0,1.67,1.71,1.69,728.99,734.2969,0.03663,-0.089443,885
2026-06-26,SPY,2026-07-17,0.057534,put,687.0,1.73,1.77,1.75,728.99,734.2969,0.03663,-0.089443,523
2026-06-26,SPY,2026-07-17,0.057534,put,688.0,1.79,1.83,1.81,728.99,734.2969,0.03663,-0.089443,526
2026-06-26,SPY,2026-07-17,0.057534,put,689.0,1.86,1.89,1.875,728.99,734.2969,0.03663,-0.089443,1187
2026-06-26,SPY,2026-07-17,0.057534,put,690.0,1.93,1.96,1.9449999999999998,728.99,734.2969,0.03663,-0.089443,39938
2026-06-26,SPY,2026-07-17,0.057534,put,691.0,2.0,2.04,2.02,728.99,734.2969,0.03663,-0.089443,2591
2026-06-26,SPY,2026-07-17,0.057534,put,692.0,2.07,2.11,2.09,728.99,734.2969,0.03663,-0.089443,7823
2026-06-26,SPY,2026-07-17,0.057534,put,693.0,2.15,2.19,2.17,728.99,734.2969,0.03663,-0.089443,1576
2026-06-26,SPY,2026-07-17,0.057534,put,694.0,2.23,2.27,2.25,728.99,734.2969,0.03663,-0.089443,6039
2026-06-26,SPY,2026-07-17,0.057534,put,695.0,2.32,2.36,2.34,728.99,734.2969,0.03663,-0.089443,20532
2026-06-26,SPY,2026-07-17,0.057534,put,696.0,2.41,2.45,2.43,728.99,734.2969,0.03663,-0.089443,9135
2026-06-26,SPY,2026-07-17,0.057534,put,697.0,2.5,2.54,2.52,728.99,734.2969,0.03663,-0.089443,1030
2026-06-26,SPY,2026-07-17,0.057534,put,698.0,2.6,2.64,2.62,728.99,734.2969,0.03663,-0.089443,19934
2026-06-26,SPY,2026-07-17,0.057534,put,699.0,2.7,2.75,2.725,728.99,734.2969,0.03663,-0.089443,899
2026-06-26,SPY,2026-07-17,0.057534,put,700.0,2.81,2.85,2.83,728.99,734.2969,0.03663,-0.089443,53633
2026-06-26,SPY,2026-07-17,0.057534,put,701.0,2.92,2.97,2.9450000000000003,728.99,734.2969,0.03663,-0.089443,1221
2026-06-26,SPY,2026-07-17,0.057534,put,702.0,3.04,3.09,3.065,728.99,734.2969,0.03663,-0.089443,16180
2026-06-26,SPY,2026-07-17,0.057534,put,703.0,3.16,3.21,3.185,728.99,734.2969,0.03663,-0.089443,9109
2026-06-26,SPY,2026-07-17,0.057534,put,704.0,3.29,3.34,3.315,728.99,734.2969,0.03663,-0.089443,9285
2026-06-26,SPY,2026-07-17,0.057534,put,705.0,3.42,3.47,3.4450000000000003,728.99,734.2969,0.03663,-0.089443,31992
2026-06-26,SPY,2026-07-17,0.057534,put,706.0,3.56,3.61,3.585,728.99,734.2969,0.03663,-0.089443,25967
2026-06-26,SPY,2026-07-17,0.057534,put,707.0,3.7,3.76,3.73,728.99,734.2969,0.03663,-0.089443,1733
2026-06-26,SPY,2026-07-17,0.057534,put,708.0,3.85,3.91,3.88,728.99,734.2969,0.03663,-0.089443,17019
2026-06-26,SPY,2026-07-17,0.057534,put,709.0,4.01,4.07,4.04,728.99,734.2969,0.03663,-0.089443,12408
2026-06-26,SPY,2026-07-17,0.057534,put,710.0,4.18,4.23,4.205,728.99,734.2969,0.03663,-0.089443,52465
2026-06-26,SPY,2026-07-17,0.057534,put,711.0,4.35,4.4,4.375,728.99,734.2969,0.03663,-0.089443,2435
2026-06-26,SPY,2026-07-17,0.057534,put,712.0,4.52,4.58,4.55,728.99,734.2969,0.03663,-0.089443,8883
2026-06-26,SPY,2026-07-17,0.057534,put,713.0,4.71,4.77,4.74,728.99,734.2969,0.03663,-0.089443,2304
2026-06-26,SPY,2026-07-17,0.057534,put,714.0,4.9,4.96,4.93,728.99,734.2969,0.03663,-0.089443,20632
